,A,2019-12-03,,,,,,,,,,79402,National Program of Cancer Registries,P,945876,NULL LIST PLUS Q000706/Q000592,,,MA,Y,
,A,2019-12-03,,,,,,,,,,79103,Scope of Practice,P,945089,NULL LIST PLUS Q000941/Q000266/Q000331/Q000639,,,MA,Y,
,A,2019-12-03,,,,,,,,,,80066,"Contraceptive Agents, Hormonal",P,949835,D LIST LESS Q000031,0,,MA,Y,
,A,2019-12-03,,,,,,,,,,80925,Microwave Imaging,P,956572,PHYSICS LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,81411,Augmented Reality,P,959476,NULL LIST,,,MA,N,
,A,2019-12-03,,,,,,,,,,81163,Cell Line Authentication,P,957819,LABORATORY LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,79542,Tithonia,P,538476,PLANTS LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,79425,Genetic Introgression,P,946064,G LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,80344,Optic Nerve Hypoplasia,P,951570,C16 LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,80346,Retinal Arterial Macroaneurysm,P,951655,C LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,80842,Undiagnosed Diseases,P,954898,C LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,80843,Brain Regeneration,P,954905,G LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,80039,Univentricular Heart,P,949621,C16 LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,81025,Sphingosine-1-Phosphate Receptors,P,292124,RECEPTORS LIST,0,,MA,Y,
,A,2019-12-03,,,,,,,,,,79562,Rumination Syndrome,P,946903,C LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,81035,Heterogeneous Nuclear Ribonucleoprotein D0,P,957605,PROTEINS LIST,0,,MA,Y,
,A,2019-12-03,,,,,,,,,,80909,Carotid-Femoral Pulse Wave Velocity,P,955848,E LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,80051,Community-Based Health Insurance,P,949680,HEALTH CARE LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,79923,Copper Transporter 1,P,949189,PROTEINS LIST,0,,MA,Y,
,A,2019-12-03,,,,,,,,,,79224,Demoralization,P,945306,NULL LIST,,,MA,N,
,A,2019-12-03,,,,,,,,,,79962,"RNA, Circular",P,949300,D13.444 LIST LESS Q000031,0,,MA,Y,
,A,2019-12-03,,,,,,,,,,80763,Sea Level Rise,P,954505,NULL LIST PLUS Q000145/Q000191/Q000266/Q000401/Q000706,,,MA,Y,
,A,2019-12-03,,,,,,,,,,79482,Claustrum,P,4301,A8 LIST,,,MA,Y,
,A,2019-12-03,,,,,,,,,,80442,Social Integration,P,952197,NULL LIST,,,MA,N,
