1021988,C,2019-06-27,fitzgeraldjb,112613,EC 3.4.24.-,112613,EC 3.4.24.-,"MMP-C31 protein, C elegans","zmp-3 protein, C elegans",P,P,558436,962458,,
1021989,C,2019-06-27,fitzgeraldjb,112614,EC 3.4.24.-,112614,EC 3.4.24.-,"MMP-H19 protein, C elegans","ZMP-2 protein, C elegans",P,P,558438,787023,,
1021990,C,2019-06-27,fitzgeraldjb,112615,EC 3.4.24.-,112615,EC 3.4.24.-,"MMP-Y19 protein, C elegans","zmp-1 protein, C elegans",P,P,558439,962459,,
1021991,C,2019-06-27,fitzgeraldjb,113069,0,113069,0,"opt-1 protein, C elegans","pept-2 protein, C elegans",P,P,558859,847134,,
1021992,C,2019-06-27,fitzgeraldjb,113520,0,113520,0,"SUR-8 protein, C elegans","soc-2 protein, C elegans",P,P,523704,523737,,
1021993,C,2019-06-27,fitzgeraldjb,115798,0,115798,0,"ceBNIP3 protein, C elegans","DCT-1 protein, C elegans",P,P,328004,882469,,
1021994,C,2019-06-27,fitzgeraldjb,117264,0,117264,0,"COG-2 protein, C elegans","cogc-2 protein, C elegans",P,P,331090,847107,,
1024977,C,2019-07-30,fitzgeraldjb,83005,EC 2.3.2.27,83005,EC 2.3.2.27,"COP1 protein, Arabidopsis","AT2G32950 protein, Arabidopsis",P,P,250990,963997,,
1024978,A,2019-07-30,fitzgeraldjb,,,632604,EC 3.-,,"AT5G13800 protein, Arabidopsis",,P,,963976,,
1024979,A,2019-07-30,fitzgeraldjb,,,632605,0,,"EFNA1 protein, human",,P,,963978,,
1024980,A,2019-07-30,fitzgeraldjb,,,632606,0,,"Mvb12b protein, mouse",,P,,963980,,
1024981,A,2019-07-30,fitzgeraldjb,,,632607,0,,MK-8353,,P,,963982,,
1024982,A,2019-07-30,fitzgeraldjb,,,632608,0,,"Mdn1 protein, S pombe",,P,,963986,,
1024983,A,2019-07-30,fitzgeraldjb,,,632609,0,,2-methoxy-6-acetyl-7-methyljuglone,,P,,963988,,
1024984,A,2019-07-30,fitzgeraldjb,,,632610,0,,"Nrg3 protein, rat",,P,,963989,,
1024985,A,2019-07-30,fitzgeraldjb,,,632611,0,,"MIRN36 microRNA, human",,P,,963991,,
1024986,A,2019-07-30,fitzgeraldjb,,,632612,0,,"MIRN590 microRNA, rat",,P,,963993,,
1029113,A,2019-09-09,fitzgeraldjb,,,634132,0,,"Adgre1 protein, mouse",,P,,967816,,
1029114,A,2019-09-09,fitzgeraldjb,,,634147,0,,"daed protein, Drosophila",,P,,967841,,
1029115,A,2019-09-09,fitzgeraldjb,,,634148,EC 2.7.11.13,,"aPKC protein, Drosophila",,P,,967843,,
1029116,A,2019-09-09,fitzgeraldjb,,,634149,0,,CYH33,,P,,967845,,
1029117,A,2019-09-09,fitzgeraldjb,,,634150,0,,AZD1419,,P,,967847,,
1029118,A,2019-09-09,fitzgeraldjb,,,634151,0,,"Vcl protein, mouse",,P,,967848,,
1031415,C,2019-10-24,pashj,554449,0,554449,0,"GPR110 protein, human","ADGRF1 protein, human",P,P,782849,935377,,
1031416,C,2019-10-24,pashj,554526,0,554526,0,"KIAA0141 protein, human","DELE1 protein, human",P,P,869833,994950,,
1031417,C,2019-10-24,pashj,556333,0,556333,0,"hnrph3 protein, human","HNRNPH3 protein, human",P,P,786674,994939,,
1031418,C,2019-10-24,pashj,561278,0,561278,0,"C9orf9 protein, human","SPACA9 protein, human",P,P,797396,994897,,
1031419,C,2019-10-24,pashj,561544,0,561544,0,"IRG1 protein, human","ACOD1 protein, human",P,P,798094,994945,,
