,D,2019-12-03,19015,Geologic Sediments,T,940766,Marine OIl Snow,N,,,,,,,,,,Y,19015,56747,Geologic Sediments,,
,M,2019-12-03,19015,Geologic Sediments,T,940766,Marine OIl Snow,N,,,,,,,,,,Y,19015,56747,Geologic Sediments,,Deleted terms / Replaced Preffered String
,D,2019-12-03,72137,Vaping,T,941722,E-Cigarette Use,N,,,,,,,,,,Y,72137,898241,Vaping,,
,M,2019-12-03,72137,Vaping,T,941722,E-Cigarette Use,N,,72137,Vaping,T,946439,E-Cigarette Use,N,,,Y,72137,946439,E-Cigarette Use,,Relocated TERM UI
,D,2019-12-03,72137,Vaping,T,941724,E-Cig Use,N,,,,,,,,,,Y,72137,898241,Vaping,,
,M,2019-12-03,72137,Vaping,T,941724,E-Cig Use,N,,72137,Vaping,T,946440,E-Cig Use,N,,,Y,72137,946440,E-Cig Use,,Relocated TERM UI
,D,2019-12-03,12338,"RNA, Ribosomal, 23S",T,942512,23S RRNA,N,,,,,,,,,,Y,12338,36640,"RNA, Ribosomal, 23S",,
,M,2019-12-03,12338,"RNA, Ribosomal, 23S",T,942512,23S RRNA,N,,,,,,,,,,Y,12338,36640,"RNA, Ribosomal, 23S",,Deleted terms / Replaced Preffered String
,D,2019-12-03,12339,"RNA, Ribosomal, 28S",T,942513,28S RRNA,N,,,,,,,,,,Y,12339,36642,"RNA, Ribosomal, 28S",,
,M,2019-12-03,12339,"RNA, Ribosomal, 28S",T,942513,28S RRNA,N,,,,,,,,,,Y,12339,36642,"RNA, Ribosomal, 28S",,Deleted terms / Replaced Preffered String
,D,2019-12-03,12341,"RNA, Ribosomal, 5S",T,942519,5S RRNA,N,,,,,,,,,,Y,12341,36646,"RNA, Ribosomal, 5S",,
,M,2019-12-03,12341,"RNA, Ribosomal, 5S",T,942519,5S RRNA,N,,,,,,,,,,Y,12341,36646,"RNA, Ribosomal, 5S",,Deleted terms / Replaced Preffered String
,D,2019-12-03,9968,"Orthodontic Appliances, Removable",T,943457,Clean Dental Braces,N,,,,,,,,,,Y,9968,29500,"Orthodontic Appliances, Removable",,
,M,2019-12-03,9968,"Orthodontic Appliances, Removable",T,943457,Clean Dental Braces,N,,,,,,,,,,Y,9968,29500,"Orthodontic Appliances, Removable",,Deleted terms / Replaced Preffered String
,D,2019-12-03,1240,Aspirations (Psychology),T,3708,Aspirations,N,,,,,,,,,,Y,1240,947270,"Aspirations, Psychological",,
,M,2019-12-03,1240,Aspirations (Psychology),T,3708,Aspirations,N,,,,,,,,,,Y,1240,947270,"Aspirations, Psychological",,Deleted terms / Replaced Preffered String
