A,2019-12-03,,,,,,,,,,,,,,,,10450,Endopeptidases,30876,37,antagonists & inhibitors,60595,11480,Protease Inhibitors,33911,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,10455,Peptides,30900,96,biosynthesis,60639,10452,Peptide Biosynthesis,550427,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,10727,Phosphoric Diester Hydrolases,31695,37,antagonists & inhibitors,60595,10726,Phosphodiesterase Inhibitors,31692,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,10755,Organophosphates,592889,506,poisoning,61130,62025,Organophosphate Poisoning,796846,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,10879,Piperazines,32077,31,analogs & derivatives,60581,77489,Piperazine,939976,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,10920,Placenta,32166,254,growth & development,60828,10929,Placentation,32191,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,10944,Plants,32229,166,cytology,60717,59828,Plant Cells,780786,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,10944,Plants,32229,254,growth & development,60828,63245,Plant Development,820277,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,10944,Plants,32229,502,physiology,61125,18521,Plant Physiological Phenomena,721555,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11065,Poly(ADP-ribose) Polymerases,475372,37,antagonists & inhibitors,60595,67856,Poly(ADP-ribose) Polymerase Inhibitors,873036,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11095,Polyethylenes,32643,31,analogs & derivatives,60581,20959,Polyethylene,32644,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11163,Hydroxymethylbilane Synthase,32881,172,deficiency,60727,17118,"Porphyria, Acute Intermittent",51121,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11188,Potassium,32957,172,deficiency,60727,11191,Potassium Deficiency,32962,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11449,Prostaglandin Endoperoxides,33798,31,analogs & derivatives,60581,11450,"Prostaglandin Endoperoxides, Synthetic",33801,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11451,Prostaglandin-Endoperoxide Synthases,641056,37,antagonists & inhibitors,60595,16861,Cyclooxygenase Inhibitors,50484,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11453,Prostaglandins,33825,31,analogs & derivatives,60581,11465,"Prostaglandins, Synthetic",33872,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11453,Prostaglandins,33825,37,antagonists & inhibitors,60595,11448,Prostaglandin Antagonists,33794,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11454,Prostaglandins A,33827,31,analogs & derivatives,60581,11455,"Prostaglandins A, Synthetic",33831,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11458,Prostaglandins E,33838,31,analogs & derivatives,60581,11459,"Prostaglandins E, Synthetic",33842,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11460,Prostaglandins F,33845,31,analogs & derivatives,60581,11461,"Prostaglandins F, Synthetic",33849,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11486,Protein C,33926,172,deficiency,60727,20151,Protein C Deficiency,59944,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11494,Protein Kinases,33952,37,antagonists & inhibitors,60595,47428,Protein Kinase Inhibitors,563761,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11506,Proteins,34003,96,biosynthesis,60639,14176,Protein Biosynthesis,549975,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11506,Proteins,34003,97,blood,60642,1798,Blood Proteins,5218,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11506,Proteins,34003,134,cerebrospinal fluid,60681,2556,Cerebrospinal Fluid Proteins,7455,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11506,Proteins,34003,172,deficiency,60727,11488,Protein Deficiency,33930,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11506,Proteins,34003,652,urine,61301,11507,Proteinuria,34004,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11516,Prothrombin,34022,172,deficiency,60727,7020,Hypoprothrombinemias,21034,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11618,Psychotic Disorders,34300,139,chemically induced,60685,11605,"Psychoses, Substance-Induced",34265,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11768,Pyruvate Dehydrogenase Complex,34784,172,deficiency,60727,15325,Pyruvate Dehydrogenase Complex Deficiency Disease,364789,,,,EP_HM
A,2019-12-03,,,,,,,,,,,,,,,,11941,"Receptors, Adrenergic",35281,37,antagonists & inhibitors,60595,18674,Adrenergic Antagonists,55589,,,,EP_HM
D,2019-12-03,8340,Mandibular Nerve,24845,293,injuries,60876,,61221,Trigeminal Nerve Injuries,788951,,,,,,,,,,,,,,,,,,2000
AE,2019-12-03,,,,,,,,,,,,,,,,8340,Mandibular Nerve,24845,293,injuries,60876,80902,Mandibular Nerve Injuries,955472,,,,2000
AE,2019-12-03,,,,,,,,,,,,,,,,11846,Radio Waves,34964,627,therapeutic use,61267,78702,Radiofrequency Therapy,943258,,,,2000
AE,2019-12-03,,,,,,,,,,,,,,,,19602,Food and Beverages,58323,331,legislation & jurisprudence,60922,7881,"Legislation, Food",23507,,,,2000
AE,2019-12-03,,,,,,,,,,,,,,,,48069,Tumor Necrosis Factors,572115,37,antagonists & inhibitors,60595,79424,Tumor Necrosis Factor Inhibitors,946058,,,,2000
AE,2019-12-03,,,,,,,,,,,,,,,,58539,Phosphatidylinositol 3-Kinase,59148,37,antagonists & inhibitors,60595,81082,Phosphoinositide-3 Kinase Inhibitors,957708,,,,2000
