1028775,A,2019-09-04,633949,"AKIRIN1 protein, human",48868,"Adaptor Proteins, Signal Transducing",,,,*,
1028776,A,2019-09-04,633950,"UTS2 protein, human",14579,Urotensins,,,,*,
1028777,A,2019-09-04,633951,"PSMG4 protein, human",18833,Chaperonins,,,,*,
1028778,A,2019-09-04,633964,"Ptcd1 protein, mouse",16601,RNA-Binding Proteins,,,,*,
1028779,A,2019-09-04,633964,"Ptcd1 protein, mouse",24101,Mitochondrial Proteins,,,,*,
1028780,A,2019-09-04,633965,"VAPA-RAb31 protein, human",15514,"Oncogene Proteins, Fusion",,,,*,
1028781,A,2019-09-04,633966,"MIRN3142 microRNA, human",35683,MicroRNAs,,,,*,
1028782,A,2019-09-04,633967,"Aida protein, mouse",49294,Phospholipid Transfer Proteins,,,,*,
1028783,A,2019-09-04,633968,"MIRN920 microRNA, human",35683,MicroRNAs,,,,*,
1028784,A,2019-09-04,633969,"PSMG3 protein, human",18832,Molecular Chaperones,,,,*,
1028785,A,2019-09-04,633970,"MTHFD2L protein, human",8754,Methylenetetrahydrofolate Dehydrogenase (NADP),,,,*,
1028786,A,2019-09-04,633971,AN7973,577,Amides,,,,*,
1028787,A,2019-09-04,633971,AN7973,1896,Boron Compounds,,,,*,
1028788,A,2019-09-04,633984,11-CUTMS,12821,Silanes,,,,*,
1028789,A,2019-09-04,633985,pegbovigrastim,7162,Immunoproteins,,,,*,
1028790,A,2019-09-04,633986,"YtfB protein, E coli",18797,Cell Cycle Proteins,,,,*,
1028791,A,2019-09-04,633986,"YtfB protein, E coli",29968,Escherichia coli Proteins,,,,*,
1028792,A,2019-09-04,633987,(11C)(N-methyl)benperidol,1544,Benperidol,,,,*,
1028793,A,2019-09-04,633988,poly(ethylene glycol)-poly(phenylalanine),10649,Phenylalanine,,,,*,
1028794,A,2019-09-04,633988,poly(ethylene glycol)-poly(phenylalanine),11092,Polyethylene Glycols,,,,*,
1028795,A,2019-09-04,634004,"AT3G45290 protein, Arabidopsis",2148,Calmodulin-Binding Proteins,,,,*,
1028796,A,2019-09-04,634004,"AT3G45290 protein, Arabidopsis",29681,Arabidopsis Proteins,,,,*,
1028797,A,2019-09-04,634025,binafuxi,4365,"Drugs, Chinese Herbal",,,,*,
1028798,A,2019-09-04,634026,(3-chloropropyl)triethoxysilane,12821,Silanes,,,,*,
1028799,A,2019-09-04,634027,RT001,8041,Linoleic Acids,,,,*,
1028800,A,2019-09-04,634028,"Poly D,L-Lactide-Co-Glycolic Acid",6016,Glycolates,,,,*,
1028801,A,2019-09-04,473477,"DOT1L protein, human",11495,Histone-Lysine N-Methyltransferase,,,,*,
1028802,A,2019-09-04,481527,"Dot1l protein, mouse",11495,Histone-Lysine N-Methyltransferase,,,,*,
1028803,A,2019-09-04,512008,"At3g43300 protein, Arabidopsis",20662,Guanine Nucleotide Exchange Factors,,,,*,
1029278,D,2019-09-16,599986,"CC2D2A protein, mouse",11506,Proteins,,,,*,
1029279,D,2019-09-16,505161,"At2g38230 protein, Arabidopsis",19884,Nitrogenous Group Transferases,,,,*,
1029280,A,2019-09-16,599986,"CC2D2A protein, mouse",3598,Cytoskeletal Proteins,,,,*,
1029281,A,2019-09-16,634224,"BATF3 protein, human",12097,Repressor Proteins,,,,*,
1029282,A,2019-09-16,634224,"BATF3 protein, human",50976,Basic-Leucine Zipper Transcription Factors,,,,*,
1029283,A,2019-09-16,634225,"LRIF1 protein, human",18797,Cell Cycle Proteins,,,,*,
1029284,A,2019-09-16,634226,"Pyroxd1 protein, mouse",50862,Oxidoreductases Acting on Sulfur Group Donors,,,,*,
1029285,A,2019-09-16,634227,"Pip4p1 protein, mouse",72180,Phosphoinositide Phosphatases,,,,*,
1029286,A,2019-09-16,634228,RapaLink-1,20123,Sirolimus,31,analogs & derivatives,,,*
1029287,A,2019-09-16,634229,"Tgm2 protein, rat",11503,Transglutaminases,,,,*,
1029288,A,2019-09-16,634244,"PYROXD1 protein, human",50862,Oxidoreductases Acting on Sulfur Group Donors,,,,*,
1029289,A,2019-09-16,634245,"MIRN1205 microRNA, human",35683,MicroRNAs,,,,*,
1029290,A,2019-09-16,634246,"Uch-L5 protein, Drosophila",29721,Drosophila Proteins,,,,*,
1029291,A,2019-09-16,634246,"Uch-L5 protein, Drosophila",43222,Ubiquitin Thiolesterase,,,,*,
1029292,A,2019-09-16,634247,"Pyroxd1 protein, Drosophila",29721,Drosophila Proteins,,,,*,
1029293,A,2019-09-16,634247,"Pyroxd1 protein, Drosophila",50862,Oxidoreductases Acting on Sulfur Group Donors,,,,*,
1029294,A,2019-09-16,634248,SSE15206,11720,Pyrazoles,,,,*,
1029295,A,2019-09-16,634249,MRZ-8456,11720,Pyrazoles,,,,*,
